50_26, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,256,257,264,268,271,277,1,257,265,268,272,279,1,256,256,256,256,273,1,256,256,256,256,258,1
4,128,145,149,152,154,165,1,145,150,152,156,164,1,135,140,141,141,155,1,138,138,141,148,159,1
8,106,106,107,109,110,119,1,107,109,110,111,113,1,106,106,106,106,108,1,107,107,107,107,109,1
16,106,106,106,106,106,119,1,106,106,106,106,106,1,106,106,106,106,108,1,106,106,106,106,108,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0026.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 28731
#   Tasks             : 50 (+dummy tasks : 2)
#   Edges             : 168 / 1225 (+dummy edges : 15)
#   Max. Predecessors : 10
#   Min. Predecessors : 0
#   Ave. Predecessors : 3.360000
#   Probability       : 0.128838 (Real : 0.137143)
# Task processing time generator : normproc
#   Random Seed       : 28730
#   Max. Proc. Time   : 16
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 10.000000 (Real : 10.220000)
#   Standard Deviation: 3.000000
# CP Length           : 106
# Parallelism         : 4.820755
