50_27, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,259,259,267,272,276,287,1,259,266,273,279,288,1,259,259,259,259,270,1,259,259,259,261,271,1
4,130,150,158,161,165,173,1,149,158,161,165,174,1,142,144,144,144,166,1,131,131,131,134,155,1
8,113,113,117,121,125,131,1,113,119,122,124,131,1,113,113,113,113,115,1,113,113,113,113,118,1
16,113,113,113,113,113,116,1,113,113,113,113,113,1,113,113,113,113,115,1,113,113,113,113,115,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0027.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 28738
#   Tasks             : 50 (+dummy tasks : 2)
#   Edges             : 95 / 1225 (+dummy edges : 21)
#   Max. Predecessors : 5
#   Min. Predecessors : 0
#   Ave. Predecessors : 1.900000
#   Probability       : 0.085041 (Real : 0.077551)
# Task processing time generator : normproc
#   Random Seed       : 28737
#   Max. Proc. Time   : 18
#   Min. Proc. Time   : 3
#   Ave. Proc. Time   : 10.000000 (Real : 10.340000)
#   Standard Deviation: 3.000000
# CP Length           : 113
# Parallelism         : 4.575221
