50_33, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,145,145,145,146,148,153,1,145,145,147,148,152,1,145,145,145,145,154,1,145,145,145,145,151,1
4,73,73,75,77,78,84,1,73,75,76,78,83,1,73,75,76,77,81,1,73,75,76,77,81,1
8,39,41,43,45,47,51,1,40,42,44,46,50,1,39,42,43,44,46,1,39,40,41,41,46,1
16,39,39,39,39,40,47,1,39,39,39,39,39,1,39,39,39,39,41,1,39,39,39,39,41,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0033.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 28780
#   Tasks             : 50 (+dummy tasks : 2)
#   Layers            : 5
#   Max. Layer Width  : 13
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 132 / 985 (+dummy edges : 24)
#   Max. Predecessors : 10
#   Min. Predecessors : 0
#   Ave. Predecessors : 2.640000
#   Probability       : 0.122262 (Real : 0.134010)
# Task processing time generator : unifproc
#   Random Seed       : 28779
#   Max. Proc. Time   : 10
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.780000)
# CP Length           : 39
# Parallelism         : 7.410256
