50_8, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,281,281,287,294,298,312,1,281,288,293,298,315,1,281,281,281,281,283,1,282,282,282,282,287,1
4,183,183,188,191,196,207,1,184,187,194,198,208,1,183,183,183,183,189,1,183,183,183,183,186,1
8,183,183,183,183,183,183,1,183,183,183,183,183,1,183,183,183,183,185,1,183,183,183,183,185,1
16,183,183,183,183,183,183,1,183,183,183,183,183,1,183,183,183,183,185,1,183,183,183,183,185,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0008.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 28605
#   Tasks             : 50 (+dummy tasks : 2)
#   Edges             : 206 / 1225 (+dummy edges : 9)
#   Max. Predecessors : 12
#   Min. Predecessors : 0
#   Ave. Predecessors : 4.120000
#   Probability       : 0.167175 (Real : 0.168163)
# Task processing time generator : unifproc
#   Random Seed       : 28604
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 11.220000)
# CP Length           : 183
# Parallelism         : 3.065574
