50_92, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,140,140,141,142,143,147,1,140,141,142,143,146,1,140,140,140,140,142,1,140,140,140,141,143,1
4,70,71,72,74,76,83,1,71,73,74,76,81,1,70,72,73,74,80,1,70,72,73,75,81,1
8,48,48,48,49,50,54,1,48,48,49,50,52,1,48,48,48,48,51,1,48,48,48,48,49,1
16,48,48,48,48,48,48,1,48,48,48,48,48,1,48,48,48,48,50,1,48,48,48,48,51,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0092.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 29193
#   Tasks             : 50 (+dummy tasks : 2)
#   Layers            : 5
#   Max. Layer Width  : 13
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 252 / 985 (+dummy edges : 25)
#   Max. Predecessors : 16
#   Min. Predecessors : 0
#   Ave. Predecessors : 5.000000 (Real : 5.040000)
# Task processing time generator : unifproc
#   Random Seed       : 29192
#   Max. Proc. Time   : 10
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.600000)
# CP Length           : 48
# Parallelism         : 5.833333
