50_169, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,214,214,215,217,219,224,1,214,216,217,219,226,1,214,214,214,214,222,1,214,215,215,216,224,1
4,107,108,111,113,115,129,1,108,112,115,117,125,1,108,108,108,108,119,1,108,111,112,115,120,1
8,67,67,69,70,73,77,1,67,69,72,74,77,1,67,69,70,72,78,1,67,67,67,67,69,1
16,67,67,67,67,67,77,1,67,67,67,67,67,1,67,67,67,67,69,1,67,67,67,67,69,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0169.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 1583
#   Tasks             : 50 (+dummy tasks : 2)
#   Layers            : 5
#   Max. Layer Width  : 15
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 310 / 975 (+dummy edges : 23)
#   Max. Predecessors : 16
#   Min. Predecessors : 0
#   Ave. Predecessors : 6.000000 (Real : 6.200000)
# Task processing time generator : unif2pks
#   Random Seed       : 1582
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.560000)
#   Probability of Av1: 0.500000
# CP Length           : 67
# Parallelism         : 6.388060
