50_104, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,127,130,135,138,141,151,1,127,130,134,139,157,1,127,127,127,128,132,1,128,128,129,129,135,1
4,88,92,95,98,100,107,1,88,94,97,100,111,1,88,88,88,89,93,1,88,88,88,89,92,1
8,83,83,83,84,84,86,1,83,83,83,84,86,1,83,83,83,84,86,1,83,83,83,83,85,1
16,83,83,83,83,83,83,1,83,83,83,83,83,1,83,83,83,83,85,1,83,83,83,83,85,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0104.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 29277
#   Tasks             : 50 (+dummy tasks : 2)
#   Layers            : 5
#   Max. Layer Width  : 13
#   Min. Layer Width  : 8
#   Ave. Layer Width  : 10.000000
#   Edges             : 769 / 993 (+dummy edges : 19)
#   Max. Predecessors : 35
#   Min. Predecessors : 0
#   Ave. Predecessors : 15.000000 (Real : 15.380000)
# Task processing time generator : expoproc
#   Random Seed       : 29276
#   Max. Proc. Time   : 29
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.060000)
# CP Length           : 83
# Parallelism         : 3.048193
