50_170, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,263,263,265,268,272,290,1,263,266,269,273,287,1,263,263,263,263,273,1,263,264,264,264,273,1
4,132,133,140,144,148,174,1,134,143,146,150,160,1,132,140,144,148,165,1,134,139,139,139,164,1
8,76,82,87,89,92,154,1,80,85,88,91,105,1,80,86,87,89,91,1,76,78,79,81,91,1
16,76,76,76,77,78,143,1,76,76,76,78,81,1,76,76,76,77,80,1,76,76,76,76,78,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0170.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 1590
#   Tasks             : 50 (+dummy tasks : 2)
#   Layers            : 5
#   Max. Layer Width  : 13
#   Min. Layer Width  : 7
#   Ave. Layer Width  : 10.000000
#   Edges             : 58 / 987 (+dummy edges : 47)
#   Max. Predecessors : 5
#   Min. Predecessors : 0
#   Ave. Predecessors : 1.000000 (Real : 1.160000)
# Task processing time generator : expo2pks
#   Random Seed       : 1589
#   Max. Proc. Time   : 54
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 10.520000)
#   Probability of Av1: 0.500000
# CP Length           : 76
# Parallelism         : 6.921052
