50_163, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,201,201,202,202,205,209,1,201,202,203,205,214,1,201,201,201,201,205,1,201,201,201,201,209,1
4,101,104,109,112,116,124,1,103,108,113,116,126,1,101,101,101,101,109,1,101,102,102,103,109,1
8,73,73,74,76,78,89,1,73,74,76,78,86,1,73,73,74,74,79,1,73,73,73,73,76,1
16,73,73,73,73,73,99,1,73,73,73,73,73,1,73,73,73,73,75,1,73,73,73,73,75,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0163.stg
# Precedence constraints generator : samepred
#   Random Seed       : 1541
#   Tasks             : 50 (+dummy tasks : 2)
#   Edges             : 105 / 1225 (+dummy edges : 24)
#   Max. Predecessors : 11
#   Min. Predecessors : 0
#   Ave. Predecessors : 2.000000 (Real : 2.100000)
# Task processing time generator : norm2pks
#   Random Seed       : 1540
#   Max. Proc. Time   : 16
#   Min. Proc. Time   : 2
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.020000)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 73
# Parallelism         : 5.493151
