50_156, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,181,183,192,196,201,214,1,181,190,194,200,219,1,181,181,181,181,188,1,181,181,183,183,188,1
4,105,114,124,127,131,148,1,109,116,119,128,144,1,111,111,112,115,125,1,110,114,117,117,125,1
8,105,105,105,106,107,116,1,105,105,106,107,109,1,105,105,105,106,110,1,105,105,105,105,108,1
16,105,105,105,105,105,132,1,105,105,105,105,105,1,105,105,105,105,108,1,105,105,105,105,107,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0156.stg
# Precedence constraints generator : samepred
#   Random Seed       : 1492
#   Tasks             : 50 (+dummy tasks : 2)
#   Edges             : 104 / 1225 (+dummy edges : 22)
#   Max. Predecessors : 7
#   Min. Predecessors : 0
#   Ave. Predecessors : 2.000000 (Real : 2.080000)
# Task processing time generator : expo2pks
#   Random Seed       : 1491
#   Max. Proc. Time   : 48
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.220000)
#   Probability of Av1: 0.500000
# CP Length           : 105
# Parallelism         : 3.438095
