50_145, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,197,197,198,199,201,207,1,197,198,199,200,206,1,197,197,197,197,201,1,197,197,197,197,203,1
4,99,99,102,104,108,119,1,99,101,102,105,113,1,99,99,99,99,112,1,99,100,102,103,117,1
8,50,54,59,61,64,75,1,52,57,59,63,75,1,56,56,57,58,58,1,52,54,54,55,58,1
16,49,49,49,49,49,59,1,49,49,49,49,49,1,49,49,49,49,51,1,49,49,49,49,51,1
# Standard Task Graph Set Project
# Random Task Graph 50//tmp/50/rand0145.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 1415
#   Tasks             : 50 (+dummy tasks : 2)
#   Layers            : 5
#   Max. Layer Width  : 12
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 91 / 987 (+dummy edges : 29)
#   Max. Predecessors : 7
#   Min. Predecessors : 0
#   Ave. Predecessors : 1.820000
#   Probability       : 0.096567 (Real : 0.092199)
# Task processing time generator : norm2pks
#   Random Seed       : 1414
#   Max. Proc. Time   : 17
#   Min. Proc. Time   : 4
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.860000)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 49
# Parallelism         : 8.020409
