100_23, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,273,273,274,276,277,282,1,273,275,276,277,284,1,273,273,273,274,281,1,273,273,274,274,280,1
4,137,145,150,153,155,165,1,146,151,153,155,162,1,142,145,146,148,154,1,141,144,145,146,154,1
8,112,112,113,115,117,124,1,112,112,113,116,120,1,112,112,113,114,118,1,112,112,112,112,115,1
16,112,112,112,112,114,124,1,112,112,112,112,112,1,112,112,112,112,115,1,112,112,112,112,114,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0023.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 29554
#   Tasks             : 100 (+dummy tasks : 2)
#   Edges             : 772 / 4950 (+dummy edges : 14)
#   Max. Predecessors : 20
#   Min. Predecessors : 0
#   Ave. Predecessors : 7.720000
#   Probability       : 0.157745 (Real : 0.155960)
# Task processing time generator : normproc
#   Random Seed       : 29553
#   Max. Proc. Time   : 8
#   Min. Proc. Time   : 4
#   Ave. Proc. Time   : 5.000000 (Real : 5.460000)
#   Standard Deviation: 1.000000
# CP Length           : 112
# Parallelism         : 4.875000
