100_124, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,418,418,419,421,423,431,1,418,419,422,424,432,1,418,418,418,418,429,1,418,418,419,420,433,1
4,209,212,220,222,226,243,1,212,219,222,225,234,1,209,209,211,211,235,1,209,213,215,218,234,1
8,157,157,158,160,162,170,1,157,157,159,159,166,1,157,157,157,159,164,1,157,157,157,157,161,1
16,157,157,157,157,157,166,1,157,157,157,157,157,1,157,157,157,157,159,1,157,157,157,157,159,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0124.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 1692
#   Tasks             : 100 (+dummy tasks : 2)
#   Edges             : 458 / 4950 (+dummy edges : 23)
#   Max. Predecessors : 16
#   Min. Predecessors : 0
#   Ave. Predecessors : 4.580000
#   Probability       : 0.091604 (Real : 0.092525)
# Task processing time generator : unif2pks
#   Random Seed       : 1691
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.350000)
#   Probability of Av1: 0.500000
# CP Length           : 157
# Parallelism         : 5.318471
