100_28, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,518,518,524,527,530,541,1,518,524,527,531,539,1,518,518,518,518,537,1,518,518,519,520,536,1
4,259,272,277,279,282,289,1,271,278,281,284,294,1,265,268,268,269,286,1,260,272,274,277,286,1
8,191,191,192,194,197,206,1,191,191,192,194,202,1,191,191,191,191,194,1,191,191,191,191,193,1
16,191,191,191,191,191,203,1,191,191,191,191,191,1,191,191,191,191,193,1,191,191,191,191,193,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0028.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 29589
#   Tasks             : 100 (+dummy tasks : 2)
#   Edges             : 470 / 4950 (+dummy edges : 21)
#   Max. Predecessors : 13
#   Min. Predecessors : 0
#   Ave. Predecessors : 4.700000
#   Probability       : 0.088762 (Real : 0.094949)
# Task processing time generator : normproc
#   Random Seed       : 29588
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 3
#   Ave. Proc. Time   : 10.000000 (Real : 10.350000)
#   Standard Deviation: 3.000000
# CP Length           : 191
# Parallelism         : 5.418848
