100_53, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,276,276,277,277,278,281,1,276,277,278,279,282,1,276,276,276,276,281,1,276,277,277,278,283,1
4,138,139,141,143,145,151,1,139,141,141,142,150,1,138,140,140,141,150,1,138,140,141,143,151,1
8,72,76,79,81,82,94,1,76,79,80,81,86,1,74,77,77,78,79,1,74,75,76,77,79,1
16,66,66,66,69,72,82,1,66,66,66,66,66,1,66,66,66,66,69,1,66,66,66,66,69,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0053.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 29764
#   Tasks             : 100 (+dummy tasks : 2)
#   Layers            : 10
#   Max. Layer Width  : 18
#   Min. Layer Width  : 7
#   Ave. Layer Width  : 10.000000
#   Edges             : 847 / 4452 (+dummy edges : 22)
#   Max. Predecessors : 24
#   Min. Predecessors : 0
#   Ave. Predecessors : 8.470000
#   Probability       : 0.193849 (Real : 0.190252)
# Task processing time generator : normproc
#   Random Seed       : 29763
#   Max. Proc. Time   : 8
#   Min. Proc. Time   : 3
#   Ave. Proc. Time   : 5.000000 (Real : 5.520000)
#   Standard Deviation: 1.000000
# CP Length           : 66
# Parallelism         : 8.363636
