100_119, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,523,523,525,526,528,533,1,523,525,527,529,541,1,523,523,523,523,532,1,523,524,525,526,534,1
4,262,263,266,268,270,277,1,263,267,269,272,282,1,262,264,265,267,277,1,262,265,266,268,278,1
8,149,153,159,161,165,177,1,154,159,162,165,172,1,149,154,155,157,166,1,153,153,153,153,161,1
16,143,143,143,143,143,156,1,143,143,143,143,143,1,143,143,143,143,145,1,143,143,143,143,145,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0119.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 243
#   Tasks             : 100 (+dummy tasks : 2)
#   Layers            : 10
#   Max. Layer Width  : 13
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 1420 / 4465 (+dummy edges : 19)
#   Max. Predecessors : 40
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000 (Real : 14.200000)
# Task processing time generator : normproc
#   Random Seed       : 242
#   Max. Proc. Time   : 19
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 10.000000 (Real : 10.460000)
#   Standard Deviation: 3.000000
# CP Length           : 143
# Parallelism         : 7.314685
