100_118, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,499,499,500,501,503,511,1,499,501,503,506,516,1,499,499,499,499,508,1,499,499,500,502,510,1
4,250,250,254,256,258,270,1,252,256,258,261,271,1,250,250,251,252,260,1,250,253,254,256,266,1
8,143,143,147,151,154,167,1,147,152,153,155,162,1,139,143,145,147,157,1,146,146,146,146,150,1
16,132,132,132,132,133,145,1,132,132,132,132,137,1,132,132,132,132,138,1,132,132,132,132,134,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0118.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 236
#   Tasks             : 100 (+dummy tasks : 2)
#   Layers            : 10
#   Max. Layer Width  : 17
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 1895 / 4461 (+dummy edges : 29)
#   Max. Predecessors : 48
#   Min. Predecessors : 0
#   Ave. Predecessors : 19.000000 (Real : 18.950000)
# Task processing time generator : normproc
#   Random Seed       : 235
#   Max. Proc. Time   : 17
#   Min. Proc. Time   : 2
#   Ave. Proc. Time   : 10.000000 (Real : 9.970000)
#   Standard Deviation: 3.000000
# CP Length           : 132
# Parallelism         : 7.553030
