100_46, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,520,520,521,524,526,539,1,520,522,524,526,539,1,520,520,520,520,545,1,520,520,520,520,539,1
4,260,262,267,272,276,294,1,262,266,269,277,292,1,260,265,268,272,286,1,261,266,269,273,286,1
8,130,140,149,153,158,188,1,137,152,155,158,170,1,138,149,152,155,170,1,137,146,149,152,172,1
16,106,106,107,109,112,135,1,106,106,108,109,111,1,106,106,107,108,112,1,106,106,106,107,112,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0046.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 29715
#   Tasks             : 100 (+dummy tasks : 2)
#   Layers            : 10
#   Max. Layer Width  : 15
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 219 / 4447 (+dummy edges : 47)
#   Max. Predecessors : 8
#   Min. Predecessors : 0
#   Ave. Predecessors : 2.190000
#   Probability       : 0.050424 (Real : 0.049247)
# Task processing time generator : expoproc
#   Random Seed       : 29714
#   Max. Proc. Time   : 46
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.390000)
# CP Length           : 106
# Parallelism         : 9.801887
