100_108, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,477,481,492,498,506,530,1,477,483,488,499,527,1,477,477,477,477,499,1,477,481,481,482,503,1
4,290,307,319,324,329,347,1,298,312,319,324,340,1,302,312,316,320,342,1,296,301,302,307,328,1
8,289,289,290,292,292,300,1,289,289,290,293,297,1,289,289,289,290,292,1,289,289,289,289,291,1
16,289,289,289,289,289,304,1,289,289,289,289,289,1,289,289,289,289,291,1,289,289,289,289,291,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0108.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 158
#   Tasks             : 100 (+dummy tasks : 2)
#   Layers            : 10
#   Max. Layer Width  : 16
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 1806 / 4454 (+dummy edges : 23)
#   Max. Predecessors : 48
#   Min. Predecessors : 0
#   Ave. Predecessors : 18.000000 (Real : 18.060000)
# Task processing time generator : expoproc
#   Random Seed       : 157
#   Max. Proc. Time   : 56
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 9.540000)
# CP Length           : 289
# Parallelism         : 3.301038
