100_30, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,253,253,254,255,256,260,1,253,254,255,256,261,1,253,253,253,253,260,1,253,253,254,256,263,1
4,127,128,132,133,135,141,1,127,130,132,134,139,1,127,130,132,133,138,1,127,130,131,133,138,1
8,66,72,75,77,78,85,1,71,73,75,76,80,1,68,72,73,75,79,1,69,72,73,74,79,1
16,66,66,66,67,69,80,1,66,66,66,66,66,1,66,66,66,66,69,1,66,66,66,66,69,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0030.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 29603
#   Tasks             : 100 (+dummy tasks : 2)
#   Layers            : 10
#   Max. Layer Width  : 15
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 659 / 4443 (+dummy edges : 25)
#   Max. Predecessors : 18
#   Min. Predecessors : 0
#   Ave. Predecessors : 6.590000
#   Probability       : 0.151169 (Real : 0.148323)
# Task processing time generator : unifproc
#   Random Seed       : 29602
#   Max. Proc. Time   : 10
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 5.050000)
# CP Length           : 66
# Parallelism         : 7.651515
