100_35, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,504,504,506,508,511,526,1,504,506,509,513,521,1,504,504,504,504,527,1,504,504,504,504,515,1
4,252,255,259,262,267,278,1,254,261,264,267,281,1,253,259,262,265,278,1,253,259,263,266,286,1
8,126,136,142,144,149,170,1,133,141,143,146,156,1,134,139,141,143,145,1,132,139,141,144,145,1
16,88,91,94,96,99,122,1,88,93,95,99,106,1,88,93,94,95,103,1,88,90,92,93,101,1
# Standard Task Graph Set Project
# Random Task Graph 100//tmp/100/rand0035.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 29638
#   Tasks             : 100 (+dummy tasks : 2)
#   Layers            : 10
#   Max. Layer Width  : 13
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 333 / 4472 (+dummy edges : 42)
#   Max. Predecessors : 12
#   Min. Predecessors : 0
#   Ave. Predecessors : 3.330000
#   Probability       : 0.082186 (Real : 0.074463)
# Task processing time generator : unifproc
#   Random Seed       : 29637
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.080000)
# CP Length           : 88
# Parallelism         : 11.454545
