300_134, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1214,1214,1218,1221,1225,1231,1,1214,1218,1221,1225,1240,1,1214,1218,1221,1224,1237,1,1214,1215,1217,1220,1238,1
4,607,621,631,635,639,662,1,617,630,635,639,650,1,613,629,633,637,654,1,610,622,628,634,654,1
8,337,371,377,383,387,400,1,368,375,377,381,395,1,363,374,377,380,398,1,355,363,366,369,386,1
16,337,337,338,341,346,357,1,337,337,337,337,337,1,337,337,337,337,340,1,337,337,337,337,339,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0134.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 2186
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 3516 / 44850 (+dummy edges : 23)
#   Max. Predecessors : 38
#   Min. Predecessors : 0
#   Ave. Predecessors : 11.720000
#   Probability       : 0.078948 (Real : 0.078395)
# Task processing time generator : norm2pks
#   Random Seed       : 2185
#   Max. Proc. Time   : 18
#   Min. Proc. Time   : 2
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.093333)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 337
# Parallelism         : 7.204748
