300_86, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1560,1560,1564,1567,1572,1582,1,1561,1565,1570,1575,1589,1,1560,1561,1563,1567,1583,1,1560,1561,1563,1566,1589,1
4,780,791,801,806,812,828,1,790,804,807,812,831,1,,,,,,,780,788,792,797,823,1
8,459,482,489,494,500,531,1,476,487,491,495,505,1,,,,,,,462,468,470,474,491,1
16,459,459,459,459,464,500,1,459,459,459,459,459,1,459,459,459,459,462,1,459,459,459,459,462,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0086.stg
# Precedence constraints generator : samepred
#   Random Seed       : 881
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 3753 / 44850 (+dummy edges : 22)
#   Max. Predecessors : 36
#   Min. Predecessors : 0
#   Ave. Predecessors : 13.000000 (Real : 12.510000)
# Task processing time generator : normproc
#   Random Seed       : 880
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 3
#   Ave. Proc. Time   : 10.000000 (Real : 10.396667)
#   Standard Deviation: 3.000000
# CP Length           : 459
# Parallelism         : 6.795207
