300_137, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1176,1176,1177,1179,1182,1192,1,1176,1177,1179,1181,1189,1,1176,1177,1179,1181,1192,1,1176,1177,1179,1181,1192,1
4,588,590,598,602,607,624,1,590,595,599,603,614,1,589,595,598,602,617,1,589,593,596,599,620,1
8,295,314,325,330,336,361,1,308,316,320,327,338,1,307,317,320,324,328,1,303,313,317,321,328,1
16,243,243,244,246,252,281,1,243,243,243,243,245,1,,,,,,,243,243,243,243,245,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0137.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2207
#   Tasks             : 300 (+dummy tasks : 2)
#   Layers            : 30
#   Max. Layer Width  : 17
#   Min. Layer Width  : 6
#   Ave. Layer Width  : 10.000000
#   Edges             : 4200 / 43369 (+dummy edges : 36)
#   Max. Predecessors : 37
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.000000
#   Probability       : 0.097558 (Real : 0.096843)
# Task processing time generator : unif2pks
#   Random Seed       : 2206
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.840000)
#   Probability of Av1: 0.500000
# CP Length           : 243
# Parallelism         : 9.679012
