300_149, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1212,1212,1213,1214,1217,1222,1,1212,1213,1215,1218,1230,1,1212,1213,1215,1217,1228,1,1212,1213,1214,1215,1234,1
4,606,610,617,621,626,646,1,608,614,617,621,634,1,607,615,618,621,634,1,607,613,615,618,637,1
8,333,355,365,369,372,400,1,352,360,363,367,376,1,351,360,362,365,377,1,346,354,356,359,371,1
16,333,333,333,337,342,363,1,333,333,333,333,333,1,333,333,333,333,335,1,333,333,333,333,335,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0149.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 2291
#   Tasks             : 300 (+dummy tasks : 2)
#   Layers            : 30
#   Max. Layer Width  : 17
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 7566 / 43380 (+dummy edges : 26)
#   Max. Predecessors : 60
#   Min. Predecessors : 0
#   Ave. Predecessors : 25.220000
#   Probability       : 0.172000 (Real : 0.174412)
# Task processing time generator : norm2pks
#   Random Seed       : 2290
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 3
#   Ave. Proc. Time(1): 5.000000
#   Standard Dev.(1)  : 1.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.076667)
#   Standard Dev.(2)  : 3.000000
#   Probability of Av1: 0.500000
# CP Length           : 333
# Parallelism         : 7.276276
