300_46, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1583,1583,1587,1597,1608,1618,1,1583,1587,1600,1613,1628,1,1583,1589,1598,1608,1634,1,1583,1588,1600,1610,1633,1
4,792,807,824,832,839,880,1,797,824,835,843,873,1,,,,,,,795,821,832,841,879,1
8,433,476,489,493,503,549,1,463,481,486,492,513,1,,,,,,,462,476,481,486,507,1
16,433,433,434,437,447,519,1,433,433,434,435,437,1,,,,,,,433,433,433,433,439,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0046.stg
# Precedence constraints generator : layrprob
#   Random Seed       : 599
#   Tasks             : 300 (+dummy tasks : 2)
#   Layers            : 30
#   Max. Layer Width  : 15
#   Min. Layer Width  : 4
#   Ave. Layer Width  : 10.000000
#   Edges             : 4235 / 43369 (+dummy edges : 30)
#   Max. Predecessors : 45
#   Min. Predecessors : 0
#   Ave. Predecessors : 14.116667
#   Probability       : 0.097942 (Real : 0.097650)
# Task processing time generator : expoproc
#   Random Seed       : 598
#   Max. Proc. Time   : 71
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.550000)
# CP Length           : 433
# Parallelism         : 7.309469
