300_15, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1562,1570,1588,1598,1606,1627,1,1564,1581,1589,1599,1632,1,1562,1572,1578,1585,1621,1,1562,1564,1567,1572,1609,1
4,781,875,897,907,916,951,1,867,889,897,909,945,1,,,,,,,822,842,846,851,855,1
8,713,713,716,719,721,751,1,713,716,719,720,725,1,713,713,714,716,722,1,713,713,713,713,717,1
16,713,713,713,713,716,766,1,713,713,713,713,713,1,713,713,713,713,716,1,713,713,713,713,715,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0015.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 372
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 4710 / 44850 (+dummy edges : 18)
#   Max. Predecessors : 40
#   Min. Predecessors : 0
#   Ave. Predecessors : 15.700000
#   Probability       : 0.105634 (Real : 0.105017)
# Task processing time generator : expoproc
#   Random Seed       : 371
#   Max. Proc. Time   : 55
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.413333)
# CP Length           : 713
# Parallelism         : 4.381487
