300_169, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1251,1251,1252,1253,1255,1262,1,1251,1253,1254,1256,1267,1,1251,1252,1253,1254,1265,1,1251,1252,1253,1254,1268,1
4,626,627,632,635,638,658,1,626,630,633,638,651,1,626,629,631,633,647,1,626,630,632,634,650,1
8,313,331,342,346,350,380,1,329,339,342,346,360,1,,,,,,,323,333,336,339,344,1
16,287,287,288,290,298,322,1,287,287,287,287,287,1,287,287,287,287,291,1,287,287,287,287,290,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0169.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 2431
#   Tasks             : 300 (+dummy tasks : 2)
#   Layers            : 30
#   Max. Layer Width  : 18
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 5745 / 43314 (+dummy edges : 32)
#   Max. Predecessors : 50
#   Min. Predecessors : 0
#   Ave. Predecessors : 19.000000 (Real : 19.150000)
# Task processing time generator : unif2pks
#   Random Seed       : 2430
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.340000)
#   Probability of Av1: 0.500000
# CP Length           : 287
# Parallelism         : 8.717770
