300_121, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1124,1156,1174,1182,1188,1207,1,1160,1174,1182,1190,1213,1,1143,1143,1143,1143,1146,1,1133,1133,1134,1135,1146,1
4,765,780,791,796,801,821,1,778,791,796,801,809,1,775,790,794,799,817,1,770,770,771,772,780,1
8,765,765,765,765,765,771,1,765,765,765,765,765,1,765,765,765,765,767,1,765,765,765,765,768,1
16,765,765,765,765,765,776,1,765,765,765,765,765,1,765,765,765,765,767,1,765,765,765,765,767,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0121.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 2095
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 9052 / 44850 (+dummy edges : 9)
#   Max. Predecessors : 68
#   Min. Predecessors : 0
#   Ave. Predecessors : 30.173333
#   Probability       : 0.198303 (Real : 0.201828)
# Task processing time generator : unif2pks
#   Random Seed       : 2094
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 7.476667)
#   Probability of Av1: 0.500000
# CP Length           : 765
# Parallelism         : 2.932026
