300_6, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1608,1673,1696,1706,1720,1748,1,1670,1690,1703,1721,1753,1,1631,1638,1648,1655,1687,1,1617,1618,1618,1618,1627,1
4,1173,1187,1207,1213,1220,1245,1,1193,1211,1218,1228,1249,1,1180,1195,1200,1206,1237,1,1185,1185,1185,1186,1189,1
8,1173,1173,1173,1173,1173,1180,1,1173,1173,1173,1173,1173,1,1173,1173,1173,1173,1176,1,1173,1173,1173,1173,1175,1
16,1173,1173,1173,1173,1173,1180,1,1173,1173,1173,1173,1173,1,1173,1173,1173,1173,1176,1,1173,1173,1173,1173,1175,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0006.stg
# Precedence constraints generator : sameprob
#   Random Seed       : 299
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 8997 / 44850 (+dummy edges : 9)
#   Max. Predecessors : 70
#   Min. Predecessors : 0
#   Ave. Predecessors : 29.990000
#   Probability       : 0.199803 (Real : 0.200602)
# Task processing time generator : unifproc
#   Random Seed       : 298
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.716667)
# CP Length           : 1173
# Parallelism         : 2.740835
