300_69, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1660,1660,1666,1669,1673,1682,1,1660,1663,1668,1672,1697,1,1660,1664,1667,1672,1689,1,1660,1661,1662,1664,1687,1
4,830,845,859,864,870,889,1,845,856,864,870,891,1,,,,,,,834,846,850,855,877,1
8,507,525,534,539,544,557,1,521,530,534,538,561,1,,,,,,,511,519,522,526,547,1
16,507,507,507,507,516,539,1,507,507,507,507,507,1,507,507,507,507,509,1,507,507,507,507,509,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0069.stg
# Precedence constraints generator : samepred
#   Random Seed       : 762
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 3617 / 44850 (+dummy edges : 26)
#   Max. Predecessors : 35
#   Min. Predecessors : 0
#   Ave. Predecessors : 12.000000 (Real : 12.056667)
# Task processing time generator : unifproc
#   Random Seed       : 761
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 11.063333)
# CP Length           : 507
# Parallelism         : 6.546351
