300_74, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,910,910,912,916,920,928,1,910,914,918,921,938,1,910,912,916,920,938,1,910,913,917,921,939,1
4,455,461,468,474,479,516,1,458,465,469,477,502,1,456,464,467,471,491,1,456,466,471,477,507,1
8,228,251,266,278,289,327,1,241,251,254,261,280,1,,,,,,,237,246,249,253,256,1
16,122,166,185,199,211,247,1,154,159,161,164,168,1,,,,,,,148,158,160,162,173,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0074.stg
# Precedence constraints generator : samepred
#   Random Seed       : 797
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 884 / 44850 (+dummy edges : 114)
#   Max. Predecessors : 12
#   Min. Predecessors : 0
#   Ave. Predecessors : 3.000000 (Real : 2.946667)
# Task processing time generator : expoproc
#   Random Seed       : 796
#   Max. Proc. Time   : 47
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 5.000000 (Real : 6.063333)
# CP Length           : 122
# Parallelism         : 14.909836
