300_152, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1242,1245,1257,1263,1271,1284,1,1244,1258,1264,1273,1290,1,1242,1251,1255,1260,1287,1,1242,1242,1243,1245,1266,1
4,647,703,719,725,731,747,1,702,719,724,731,749,1,695,716,721,726,754,1,672,681,684,687,703,1
8,635,635,635,635,637,655,1,635,635,635,635,635,1,635,635,635,635,638,1,635,635,635,635,637,1
16,635,635,635,635,637,653,1,635,635,635,635,635,1,635,635,635,635,638,1,635,635,635,635,637,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0152.stg
# Precedence constraints generator : samepred
#   Random Seed       : 2312
#   Tasks             : 300 (+dummy tasks : 2)
#   Edges             : 5336 / 44850 (+dummy edges : 14)
#   Max. Predecessors : 44
#   Min. Predecessors : 0
#   Ave. Predecessors : 18.000000 (Real : 17.786667)
# Task processing time generator : unif2pks
#   Random Seed       : 2311
#   Max. Proc. Time   : 20
#   Min. Proc. Time   : 1
#   Ave. Proc. Time(1): 5.000000
#   Ave. Proc. Time(2): 10.000000 (Real : 8.276667)
#   Probability of Av1: 0.500000
# CP Length           : 635
# Parallelism         : 3.910236
