300_106, optimal,CP_min,CP_q1,CP_q2,CP_q3,CP_max,CP_time,CN_min,CN_q1,CN_q2,CN_q3,CN_max,CN_time,SP_min,SP_q1,SP_q2,SP_q3,SP_max,SP_time,SN_min,SN_q1,SN_q2,SN_q3,SN_max,SN_time
2,1547,1547,1552,1558,1566,1582,1,1547,1548,1550,1558,1573,1,1547,1552,1556,1561,1586,1,1547,1548,1551,1556,1583,1
4,774,791,805,810,819,845,1,778,798,805,813,849,1,786,799,802,804,806,1,776,796,802,810,849,1
8,448,483,492,496,503,592,1,474,489,493,498,509,1,477,486,489,492,505,1,467,482,485,489,508,1
16,448,448,449,452,460,495,1,448,448,448,448,448,1,448,448,448,448,450,1,448,448,448,448,451,1
# Standard Task Graph Set Project
# Random Task Graph 300//tmp/300/rand0106.stg
# Precedence constraints generator : layrpred
#   Random Seed       : 1021
#   Tasks             : 300 (+dummy tasks : 2)
#   Layers            : 30
#   Max. Layer Width  : 18
#   Min. Layer Width  : 5
#   Ave. Layer Width  : 10.000000
#   Edges             : 4890 / 43368 (+dummy edges : 28)
#   Max. Predecessors : 45
#   Min. Predecessors : 0
#   Ave. Predecessors : 16.000000 (Real : 16.300000)
# Task processing time generator : expoproc
#   Random Seed       : 1020
#   Max. Proc. Time   : 64
#   Min. Proc. Time   : 1
#   Ave. Proc. Time   : 10.000000 (Real : 10.310000)
# CP Length           : 448
# Parallelism         : 6.904018
